input,output
"('tratarse', 'Action', 'síntomas', 'Concept')",target
"('tratarse', 'Action', 'fisioterapia', 'Concept')",subject
"('tratarse', 'Action', 'medicinas', 'Concept')",subject
"('tratarse', 'Action', 'cirugía', 'Concept')",subject
"('tratarse', 'Action', 'terapia del lenguaje', 'Concept')",subject
"('aparecer', 'Action', 'problemas valvulares', 'Concept')",subject
"('aparecer', 'Action', 'nacimiento', 'Action')",in-time
"('infecciones', 'Concept', 'problemas valvulares', 'Concept')",causes
"('infartos', 'Concept', 'problemas valvulares', 'Concept')",causes
"('enfermedades del corazón', 'Concept', 'problemas valvulares', 'Concept')",causes
"('lesiones del corazón', 'Concept', 'problemas valvulares', 'Concept')",causes
"('agujeros', 'Concept', 'perforaciones', 'Concept')",in-context
"('cerrarse', 'Action', 'agujeros', 'Concept')",subject
"('utilizan', 'Action', 'ellos', 'Reference')",in-place
"('utilizan', 'Action', 'joyas', 'Concept')",target
"('utilizan', 'Action', 'cerrarse', 'Action')",causes
"('signos', 'Predicate', 'parálisis cerebral', 'Concept')",arg
"('signos', 'Predicate', 'prematuros', 'Concept')",in-context
"('aparecer', 'Action', 'signos', 'Predicate')",subject
"('aparecer', 'Action', 'antes', 'Predicate')",in-time
"('antes', 'Predicate', '3 años', 'Concept')",arg
"('3 años', 'Concept', 'edad', 'Concept')",in-context
"('bebés', 'Concept', 'erge', 'Concept')",in-context
"('músculo', 'Concept', 'esfínter', 'Concept')",in-context
"('músculo', 'Concept', 'bebés', 'Concept')",in-place
"('debilita', 'Action', 'músculo', 'Concept')",target
"('debilita', 'Action', 'debe', 'Action')",target
"('relaja', 'Action', 'músculo', 'Concept')",target
"('relaja', 'Action', 'debe', 'Action')",in-time
"('debe', 'Action', 'debilita', 'Action')",in-time
"('debe', 'Action', 'relaja', 'Action')",target
"('erge', 'Concept', 'debilita', 'Action')",entails
"('erge', 'Concept', 'relaja', 'Action')",entails
"('cuidado', 'Action', 'seguro', 'Concept')",subject
"('cuidado', 'Action', 'salud', 'Concept')",target
"('ayuda', 'Action', 'cuidado', 'Action')",subject
"('protegerse', 'Action', 'gente', 'Concept')",target
"('protegerse', 'Action', 'costos médicos', 'Concept')",in-context
"('costos médicos', 'Concept', 'elevados', 'Concept')",in-context
"('usadas', 'Action', 'drogas de club', 'Concept')",target
"('violaciones', 'Action', 'citas', 'Concept')",in-place
"('usadas', 'Action', 'violaciones', 'Action')",causes
"('administran', 'Action', 'vacunas', 'Concept')",target
"('administran', 'Action', 'ciertas', 'Predicate')",in-time
"('ciertas', 'Predicate', 'edades', 'Concept')",domain
"('funcionan', 'Action', 'vacunas', 'Concept')",target
"('funcionan', 'Action', 'mejor', 'Concept')",in-context
"('administran', 'Action', 'funcionan', 'Action')",entails
"('tipo', 'Predicate', 'imagen', 'Concept')",domain
"('ecografía', 'Concept', 'tipo', 'Predicate')",is-a
"('ultrasonido', 'Concept', 'tipo', 'Predicate')",is-a
"('ecografía', 'Concept', 'ultrasonido', 'Concept')",same-as
"('medicamentos', 'Concept', 'tratamiento', 'Concept')",part-of
"('fisioterapia', 'Concept', 'tratamiento', 'Concept')",part-of
"('aparatos ortopédicos', 'Concept', 'tratamiento', 'Concept')",part-of
"('necesita', 'Action', 'funcionar', 'Action')",in-context
"('potasio', 'Concept', 'mineral', 'Concept')",is-a
"('26 huesos', 'Concept', 'vértebras', 'Concept')",same-as
"('26 huesos', 'Concept', 'columna vertebral', 'Concept')",part-of
"('infecciones', 'Action', 'vph', 'Concept')",subject
"('más', 'Predicate', 'infecciones de transmisión sexual', 'Concept')",domain
"('comunes', 'Concept', 'estados unidos', 'Concept')",in-place
"('infecciones', 'Action', 'infecciones de transmisión sexual', 'Concept')",is-a
"('infecciones', 'Action', 'más', 'Predicate')",same-as
"('alivian', 'Action', 'algunas', 'Predicate')",subject
"('algunas', 'Predicate', 'medicinas otc', 'Concept')",domain
"('ayudar', 'Action', 'éstas', 'Reference')",subject
"('proveedores', 'Concept', 'salud', 'Concept')",in-context
"('tomar', 'Action', 'proveedores', 'Concept')",subject
"('tomar', 'Action', 'decisiones', 'Concept')",target
"('tomar', 'Action', 'tomarlas', 'Action')",in-context
"('tomar', 'Action', 'familiares', 'Concept')",subject
"('decisiones', 'Concept', 'final de vida', 'Concept')",in-time
"('tienen', 'Action', 'genes', 'Concept')",subject
"('tienen', 'Action', 'alergias', 'Concept')",in-context
"('tienen', 'Action', 'medio ambiente', 'Concept')",subject
"('tienen', 'Action', 'rol', 'Concept')",target
"('perder', 'Action', 'peso', 'Concept')",target
"('elevar', 'Action', 'descansar', 'Action')",in-time
"('elevar', 'Action', 'piernas', 'Concept')",target
"('cruzarlas', 'Action', 'sentarse', 'Action')",in-time
"('cruzarlas', 'Action', 'piernas', 'Concept')",target
"('ayudar', 'Action', 'ejercicio', 'Concept')",subject
"('ayudar', 'Action', 'cruzarlas', 'Action')",subject
"('ayudar', 'Action', 'elevar', 'Action')",subject
"('ayudar', 'Action', 'perder', 'Action')",subject
"('ayudar', 'Action', 'evitar', 'Action')",target
"('evitar', 'Action', 'empeoren', 'Action')",target
"('empeoren', 'Action', 'várices', 'Concept')",target
"('recomiendan', 'Action', 'centros para el control y la prevención de enfermedades', 'Concept')",subject
"('recomiendan', 'Action', 'viajen', 'Action')",target
"('viajen', 'Action', 'registren', 'Action')",in-place
"('viajen', 'Action', 'mujeres', 'Concept')",subject
"('registren', 'Action', 'brotes', 'Action')",target
"('registren', 'Action', 'regiones', 'Concept')",subject
"('brotes', 'Action', 'zika', 'Concept')",subject
"('tubos', 'Concept', 'dentro', 'Predicate')",in-place
"('filtran', 'Action', 'tubos', 'Concept')",subject
"('limpian', 'Action', 'sangre', 'Concept')",target
"('limpian', 'Action', 'tubos', 'Concept')",subject
"('eliminando', 'Action', 'productos', 'Concept')",target
"('productos', 'Concept', 'desecho', 'Concept')",in-context
"('produciendo', 'Action', 'orina', 'Concept')",target
"('dentro', 'Predicate', 'ellos', 'Reference')",arg
"('filtran', 'Action', 'eliminando', 'Action')",causes
"('filtran', 'Action', 'produciendo', 'Action')",causes
"('limpian', 'Action', 'eliminando', 'Action')",causes
"('limpian', 'Action', 'produciendo', 'Action')",causes
"('afecta', 'Action', 'esclerodermia sistémica', 'Concept')",subject
"('afecta', 'Action', 'vasos sanguíneos', 'Concept')",target
"('afecta', 'Action', 'órganos', 'Concept')",target
"('órganos', 'Concept', 'internos', 'Concept')",in-context
"('extirpan', 'Action', 'médicos', 'Concept')",subject
"('extirpan', 'Action', 'pólipos', 'Concept')",target
"('examinan', 'Action', 'médicos', 'Concept')",subject
"('examinan', 'Action', 'pólipos', 'Concept')",target
"('extirpan', 'Action', 'medida de seguridad', 'Concept')",is-a
"('examinan', 'Action', 'medida de seguridad', 'Concept')",is-a
"('contraer', 'Action', 'humanos', 'Concept')",subject
"('contraer', 'Action', 'ántrax', 'Concept')",target
"('contacto', 'Action', 'animales', 'Concept')",target
"('contacto', 'Action', 'lana', 'Concept')",target
"('contacto', 'Action', 'carne', 'Concept')",target
"('contacto', 'Action', 'cuero', 'Concept')",target
"('animales', 'Concept', 'infectados', 'Concept')",in-context
"('lana', 'Concept', 'infectados', 'Concept')",in-context
"('carne', 'Concept', 'infectados', 'Concept')",in-context
"('cuero', 'Concept', 'infectados', 'Concept')",in-context
"('contacto', 'Action', 'contraer', 'Action')",causes
"('después', 'Predicate', 'edad', 'Concept')",domain
"('perder', 'Action', 'huesos', 'Concept')",target
"('perder', 'Action', 'después', 'Predicate')",in-time
"('perder', 'Action', 'más', 'Predicate')",in-context
"('más', 'Predicate', 'produce', 'Action')",arg
"('más', 'Predicate', 'rápido', 'Concept')",arg
"('produce', 'Action', 'huesos', 'Concept')",target
"('interferir', 'Action', 'esto', 'Reference')",subject
"('consuelda', 'Concept', 'hierbas', 'Concept')",is-a
"('efedra', 'Concept', 'hierbas', 'Concept')",is-a
"('hierbas', 'Concept', 'daños', 'Action')",causes
"('transmite', 'Action', 'persona', 'Concept')",target
"('transmite', 'Action', 'dengue', 'Concept')",target
"('viven', 'Action', 'piojos', 'Concept')",target
"('viven', 'Action', 'humanos', 'Concept')",in-place
"('ladilla', 'Concept', 'piojos púbicos', 'Concept')",same-as
"('piojos de la cabeza', 'Concept', 'piojos', 'Concept')",is-a
"('piojos del cuerpo', 'Concept', 'piojos', 'Concept')",is-a
"('ladilla', 'Concept', 'piojos', 'Concept')",is-a
"('utiliza', 'Action', 'terapia dirigida', 'Concept')",subject
"('utiliza', 'Action', 'atacan', 'Action')",target
"('utiliza', 'Action', 'bloquean', 'Action')",target
"('atacan', 'Action', 'células cancerosas', 'Concept')",target
"('bloquean', 'Action', 'sustancias', 'Concept')",subject
"('bloquean', 'Action', 'crecimiento', 'Action')",target
"('bloquean', 'Action', 'diseminación', 'Action')",target
"('crecimiento', 'Action', 'células cancerosas', 'Concept')",target
"('diseminación', 'Action', 'células cancerosas', 'Concept')",target
"('identifican', 'Action', 'maestros', 'Concept')",subject
"('identifican', 'Action', 'padres', 'Concept')",subject
"('identifican', 'Action', 'trastornos', 'Action')",target
"('identifican', 'Action', 'problemas', 'Action')",target
"('identifican', 'Action', 'éste', 'Reference')",in-time
"('trastornos', 'Action', 'niños', 'Concept')",in-place
"('trastornos', 'Action', 'aprendizaje', 'Concept')",target
"('éste', 'Reference', 'momento', 'Concept')",is-a
"('organismos', 'Concept', 'primitivos', 'Concept')",in-context
"('hongos', 'Concept', 'organismos', 'Concept')",is-a
"('pesticidas', 'Concept', 'base biológica', 'Concept')",in-context
"('haciéndose', 'Action', 'populares', 'Concept')",target
"('haciéndose', 'Action', 'pesticidas', 'Concept')",subject
"('usa', 'Action', 'organismo', 'Concept')",subject
"('usa', 'Action', 'minerales', 'Concept')",target
"('usa', 'Action', 'funciones', 'Concept')",in-context
"('funcionando', 'Action', 'bien', 'Concept')",in-context
"('funcionando', 'Action', 'cerebro', 'Concept')",target
"('funcionando', 'Action', 'corazón', 'Concept')",target
"('funcionando', 'Action', 'huesos', 'Concept')",target
"('mantener', 'Action', 'funcionando', 'Action')",target
"('mantener', 'Action', 'funciones', 'Concept')",is-a
"('mantener', 'Action', 'usa', 'Action')",entails
"('tiene', 'Action', 'la', 'Reference')",target
"('produce', 'Action', 'médula ósea', 'Concept')",subject
"('produce', 'Action', 'suficientes', 'Predicate')",target
"('suficientes', 'Predicate', 'células', 'Concept')",domain
"('células', 'Concept', 'nuevas', 'Concept')",in-context
"('células', 'Concept', 'sanguíneas', 'Concept')",in-context
"('tiene', 'Action', 'produce', 'Action')",entails
"('millones', 'Predicate', 'consumidores', 'Concept')",domain
"('obtienen', 'Action', 'millones', 'Predicate')",subject
"('obtienen', 'Action', 'información', 'Concept')",target
"('obtienen', 'Action', 'revistas', 'Concept')",in-place
"('información', 'Concept', 'salud', 'Concept')",in-context
"('obtienen', 'Action', 'internet', 'Concept')",in-place
"('obtienen', 'Action', 'televisión', 'Concept')",in-place
"('observa', 'Action', 'cambios', 'Action')",target
"('cambios', 'Action', 'hábitos intestinales', 'Concept')",target
"('consulte', 'Action', 'observa', 'Action')",in-time
"('llegar', 'Action', 'país', 'Concept')",target
"('llegar', 'Action', 'rápido', 'Concept')",in-context
"('llegar', 'Action', 'surgen', 'Action')",subject
"('surgen', 'Action', 'enfermedades infecciosas', 'Concept')",target
"('surgen', 'Action', 'mundo', 'Concept')",in-place
"('muestran', 'Action', 'intestino delgado', 'Concept')",target
"('muestran', 'Action', 'imágenes', 'Concept')",subject
"('muestran', 'Action', 'rodea', 'Action')",target
"('rodea', 'Action', 'intestino delgado', 'Concept')",target
"('rodea', 'Action', 'área', 'Concept')",subject
"('estudios', 'Concept', 'muestran', 'Action')",in-context
"('ayudar', 'Action', 'estudios', 'Concept')",subject
"('ayudar', 'Action', 'revelar', 'Action')",target
"('diagnosticar', 'Action', 'cáncer de intestino', 'Concept')",target
"('revelar', 'Action', 'diseminó', 'Action')",target
"('diseminó', 'Action', 'cáncer de intestino', 'Concept')",target
"('grupo', 'Predicate', 'más', 'Predicate')",domain
"('más', 'Predicate', '30', 'Concept')",arg
"('más', 'Predicate', 'enfermedades hereditarias', 'Concept')",domain
"('debilidad', 'Action', 'muscular', 'Concept')",target
"('pérdida', 'Action', 'masa muscular', 'Concept')",target
"('distrofia muscular', 'Concept', 'grupo', 'Predicate')",is-a
"('distrofia muscular', 'Concept', 'debilidad', 'Action')",causes
"('distrofia muscular', 'Concept', 'pérdida', 'Action')",causes
"('enfermedad de hashimoto', 'Concept', 'trastorno autoinmune', 'Concept')",is-a
"('enfermedad de hashimoto', 'Concept', 'más', 'Predicate')",has-property
"('afecta', 'Action', 'artritis', 'Concept')",subject
"('afecta', 'Action', 'niños', 'Concept')",target
"('artritis juvenil', 'Concept', 'afecta', 'Action')",same-as
"('durar', 'Action', 'meses', 'Concept')",target
"('enfermedad de transmisión sexual', 'Concept', 'ets', 'Concept')",same-as
"('herpes genital', 'Concept', 'enfermedad de transmisión sexual', 'Concept')",is-a
"('controlar', 'Action', 'usted', 'Concept')",subject
"('controlar', 'Action', 'estos', 'Reference')",target
"('estos', 'Reference', 'músculos', 'Concept')",is-a
"('tratar', 'Action', 'cáncer de seno', 'Concept')",target
"('tratar', 'Action', 'se', 'Reference')",subject
"('prevenir', 'Action', 'cáncer de seno', 'Concept')",target
"('prevenir', 'Action', 'se', 'Reference')",subject
"('trasplante', 'Action', 'órganos', 'Concept')",target
"('trasplante', 'Action', 'usted', 'Reference')",subject
"('funciones', 'Action', 'órganos', 'Concept')",target
"('funciones', 'Action', 'trasplante', 'Action')",entails
"('sufre', 'Action', 'la', 'Reference')",target
"('sufre', 'Action', 'usted', 'Concept')",subject
"('revelar', 'Action', 'sufre', 'Action')",target
"('revelar', 'Action', 'pruebas diagnósticas', 'Concept')",subject
"('examen físico', 'Concept', 'pruebas diagnósticas', 'Concept')",is-a
"('diagnóstico por imágenes', 'Concept', 'pruebas diagnósticas', 'Concept')",is-a
"('mayoría', 'Predicate', 'tratamiento', 'Action')",in-context
"('niños', 'Concept', 'hendiduras orofaciales', 'Concept')",in-context
"('vida', 'Concept', 'saludable', 'Concept')",in-context
"('resultados', 'Concept', 'buenos', 'Concept')",in-context
"('mayoría', 'Predicate', 'resultados', 'Concept')",has-property
"('mayoría', 'Predicate', 'vida', 'Concept')",has-property
"('mujeres', 'Concept', 'fibromas', 'Concept')",in-context
"('embarazadas', 'Action', 'natural', 'Concept')",in-context
"('trata', 'Action', 'mortal', 'Action')",causes
"('utilizan', 'Action', 'bacterias', 'Concept')",subject
"('utilizan', 'Action', 'hacer', 'Action')",target
"('hacer', 'Action', 'alimentos', 'Concept')",target
"('yogurt', 'Concept', 'alimentos', 'Concept')",is-a
"('queso', 'Concept', 'alimentos', 'Concept')",is-a
"('heces', 'Concept', 'duras', 'Concept')",has-property
"('heces', 'Concept', 'secas', 'Concept')",has-property
"('forma', 'Action', 'cáncer de riñón', 'Concept')",target
"('forma', 'Action', 'recubre', 'Action')",in-place
"('recubre', 'Action', 'membrana', 'Concept')",subject
"('recubre', 'Action', 'tubos', 'Concept')",target
"('tubos', 'Concept', 'diminutos', 'Concept')",in-context
"('dentro', 'Predicate', 'riñones', 'Concept')",arg
"('tumor', 'Concept', 'ese', 'Reference')",in-place
"('ese', 'Reference', 'tejido', 'Concept')",is-a
"('mesotelioma', 'Concept', 'tumor', 'Concept')",is-a
"('esto', 'Reference', 'presión diastólica', 'Concept')",same-as
"('problemas', 'Action', 'glándulas salivales', 'Concept')",target
"('irritarlas', 'Action', 'glándulas salivales', 'Concept')",target
"('inflamarlas', 'Action', 'glándulas salivales', 'Concept')",target
"('problemas', 'Action', 'irritarlas', 'Action')",causes
"('problemas', 'Action', 'inflamarlas', 'Action')",causes
"('tipo', 'Predicate', 'tumor', 'Concept')",arg
"('diseminó', 'Action', 'tumor', 'Concept')",subject
"('diseminó', 'Action', 'lugares', 'Concept')",target
"('depende', 'Action', 'salud general', 'Concept')",target
"('depende', 'Action', 'diseminó', 'Action')",target
"('depende', 'Action', 'tipo', 'Predicate')",target
"('quemar', 'Action', 'más', 'Predicate')",target
"('más', 'Predicate', 'calorías', 'Concept')",domain
"('más', 'Predicate', 'come', 'Action')",arg
"('más', 'Predicate', 'bebe', 'Action')",arg
"('come', 'Action', 'calorías', 'Concept')",target
"('bebe', 'Action', 'calorías', 'Concept')",target
"('quemar', 'Action', 'perder', 'Action')",causes
"('cura', 'Action', 'algunos', 'Predicate')",target
"('cura', 'Action', 'nistagmo', 'Concept')",target
"('algunos', 'Predicate', 'trastornos de movimiento', 'Concept')",domain
"('trastornos de movimiento', 'Concept', 'ojo', 'Concept')",in-place
"('nistagmo', 'Concept', 'trastornos de movimiento', 'Concept')",is-a
"('propagan', 'Action', 'cercano', 'Predicate')",in-context
"('propagan', 'Action', 'piojos', 'Concept')",subject
"('cercano', 'Predicate', 'contacto', 'Concept')",domain
"('cambios', 'Action', 'riesgo', 'Action')",in-context
"('cambios', 'Action', 'estilo de vida', 'Concept')",target
